timestamp,user,category,application,event_type,event_relevance,event_src_path,event_dest_path,clipboard_content,mouse_coord,workbook,current_worksheet,worksheets,sheets,cell_content,cell_range,cell_range_number,window_size,slides,effect,hotkey,id,title,description,browser_url,eventQual,tab_moved_from_index,tab_moved_to_index,newZoomFactor,oldZoomFactor,tab_pinned,tab_audible,tab_muted,window_ingognito,file_size,tag_category,tag_type,tag_name,tag_title,tag_value,tag_checked,tag_html,tag_href,tag_innerText,tag_option,tag_attributes,xpath,xpath_full,screenshot
2026-01-21T11:29:53.838,n9556494,MicrosoftOffice,Microsoft Excel,newWorkbook,,,,,,Book17,Sheet1,['Sheet1'],,,,,"-7,0,967,1039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-29-53_6d84c66187b07e35c9dce7c9866776cf5272d01cfabc6f82b7bdc204e6eee09d.png
2026-01-21T11:29:53.964,n9556494,MicrosoftOffice,Microsoft Excel,activateWorkbook,,,,,,Book17,Sheet1,['Sheet1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-29-53_e0e3dda720062cac762234faa98ead4c42c57836ec18172ccad527567b287647.png
2026-01-21T11:29:54.088,n9556494,MicrosoftOffice,Microsoft Excel,openWindow,,,,,,Book17,Sheet1,['Sheet1'],,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-29-54_ea15562c811c42c5f915ad9a8b0ac629c22fa161a53cfbede30990e4e4817d34.png
2026-01-21T11:30:05.052,n9556494,MicrosoftOffice,Microsoft Excel,openWorkbook,,C:\Users\n9556494\Downloads\challenge.xlsx,,,,challenge.xlsx,Sheet1,['Sheet1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-30-04_7586ee0bef096e7d854631a24d6d84771ab906cfbe6444dc7da6a17ca241be6a.png
2026-01-21T11:30:05.192,n9556494,MicrosoftOffice,Microsoft Excel,closeWindow,,,,,,Book17,Sheet1,['Sheet1'],,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-30-05_558a89edf267a4c5d5fcccf83d49bd8bc4c30ec5bdf2d5f1f46f4e76c42db297.png
2026-01-21T11:30:05.326,n9556494,MicrosoftOffice,Microsoft Excel,deactivateWorkbook,,,,,,Book17,Sheet1,['Sheet1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-30-05_cdd7f87b15e248a2c91af508078c8a14c432e2e22cfc0fba20e0726bbff40059.png
2026-01-21T11:30:05.462,n9556494,MicrosoftOffice,Microsoft Excel,activateWorkbook,,C:\Users\n9556494\Downloads,,,,challenge.xlsx,Sheet1,['Sheet1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-30-05_41086e68252da45c9f8f5d36f5713d878b63c33b6aad77523beedccebe51934e.png
2026-01-21T11:30:05.606,n9556494,MicrosoftOffice,Microsoft Excel,openWindow,,C:\Users\n9556494\Downloads,,,,challenge.xlsx,Sheet1,['Sheet1'],,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-30-05_be13075ef5b4b363a2e56f843332cfe0a3b17b5ce38bac7432b5f03499458cd0.png
2026-01-21T11:30:05.737,n9556494,MicrosoftOffice,Microsoft Excel,afterCalculate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-30-05_0ec5ee53d53bf35b011e95180ba62e4eff859901adb11b0589a5c245e9ce63f3.png
2026-01-21T11:30:11.445,n9556494,MicrosoftOffice,Microsoft Excel,closeWorkbook,,,,,,Book17,Sheet1,['Sheet1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-30-11_a413a5f482d8b38aa659ec4965d02d0874f6056ffb7b8e4153ab2b63e638b61a.png
2026-01-21T11:30:11.588,n9556494,MicrosoftOffice,Microsoft Excel,closeWindow,,,,,,Book17,Sheet1,['Sheet1'],,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-30-11_ed8ef11c7849e1b3e1982981bd6809478c2492680f3c4c9cc79f16992ade3475.png
2026-01-21T11:30:11.711,n9556494,MicrosoftOffice,Microsoft Excel,deactivateWorkbook,,,,,,Book17,Sheet1,['Sheet1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-30-11_0ad61d34fa0ba4904da80b2336a4c81b3f3787b75fb5c12178e79c606fb4f15b.png
2026-01-21T11:30:11.972,n9556494,MicrosoftOffice,Microsoft Excel,activateWorkbook,,C:\Users\n9556494\Downloads,,,,challenge.xlsx,Sheet1,['Sheet1'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-30-11_1e6cdd36904b6555128ada8fca3e7bd8222670552e71fb7d373ec996b7c857a5.png
2026-01-21T11:30:12.105,n9556494,MicrosoftOffice,Microsoft Excel,openWindow,,C:\Users\n9556494\Downloads,,,,challenge.xlsx,Sheet1,['Sheet1'],,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-30-12_da461a1d8d36be08129702fbdfac7f8be1d3349c152522524093dab0c5d4f1f0.png
2026-01-21T11:30:14.351,n9556494,Browser,Edge,newWindow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-30-14_2f7fbc8b9ddf06746bbec487e1c6c46322ead8a8cd0000d8470c0ba1033fbac1.png
2026-01-21T11:30:14.355,n9556494,Browser,Edge,selectTab,,,,,,,,,,,,,,,,,0,New tab,,edge://newtab/,,,,,,,,,,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-30-14_ee2c1c8487a49445f79e89fbf3fcf7d17e13b32fc3a4784badff027321784f15.png
2026-01-21T11:30:14.353,n9556494,Browser,Edge,newTab,,,,,,,,,,,,,,,,,0,New tab,,edge://newtab/,,,,,,,,,,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-30-14_b91c1bef5751f8d71d9141e4a68763c53d6f5b1cd66ca91c8700dcd4d9ca91ea.png
2026-01-21T11:30:14.439,n9556494,Browser,Edge,startPage,,,,,,,,,,,,,,,,,,,,https://ntp.msn.com/edge/ntp?locale=en-US&title=New%20tab&dsp=0&sp=Google&query=enterprise&feed_dis=off&en_widget_reg=false&PC=U531,[],,,,,,,,,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-30-14_9ccf136ab3f03b9a50c523cbea71935e9bb76f659e801c6daf85c961730d3916.png
2026-01-21T11:30:15.259,n9556494,Browser,Edge,link,,,,,,,,,,,,,,,,,,,,https://ntp.msn.com/edge/ntp?locale=en-US&title=New%20tab&dsp=0&sp=Google&query=enterprise&feed_dis=off&en_widget_reg=false&prerender=1&PC=U531,[],,,,,,,,,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-30-15_740cbd88064db320ebaaee7ee87dbd911b78a1d66cda78164b16e425f97d4f57.png
2026-01-21T11:30:20.513,n9556494,Browser,Edge,typed,,,,,,,,,,,,,,,,,,,,https://rpachallenge.com/,"[""fromAddressBar""]",,,,,,,,,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-30-20_e18785e1001a13f56d262a58e0eb0d7b7dc640a4042d1e515fd4b56d18d8831b.png
2026-01-21T11:30:55.522,n9556494,MicrosoftOffice,Microsoft Excel,getCell,,,,,,challenge.xlsx,Sheet1,,,John,A2,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,screenshots\2026-01-21_11-29-48\2026-01-21_11-30-55_0170acb463bfada4f5ea37e5512e395f57e16378d0c7d0f37461496e056e574d.png
2026-01-21T11:31:01.040,n9556494,Browser,Edge,clickTextField,,,,,"1333,522",,,,,,,,,,,,0VCc6,,,https://rpachallenge.com/,,,,,,,,,,,INPUT,text,0VCc6,,,,,,,,"{'_ngcontent-c2': '', 'ng-reflect-name': 'labelFirstName', 'id': '0VCc6', 'name': '0VCc6', 'class': 'ng-untouched ng-pristine ng-invalid', 'parentNodeTitle': ''}","id(""0VCc6"")",/HTML[1]/BODY[1]/APP-ROOT[1]/DIV[2]/APP-RPA1[1]/DIV[1]/DIV[2]/FORM[1]/DIV[1]/DIV[7]/RPA1-FIELD[1]/DIV[1]/INPUT[1],screenshots\2026-01-21_11-29-48\2026-01-21_11-31-01_2500298d8769405a74c8673ac9ba4f13a5a691c25149485cee0f9e088616e9fe.png
